"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson","0.0","58.0","","copresence","115->67","115->67=correl_pearson","0.0","0.0","false","","115->67=correl_pearson","0.9863224946167738"
"correl_pearson","64.0","52.0","","copresence","115->132","115->132=correl_pearson","0.0","0.0","false","","115->132=correl_pearson","0.0"
"correl_pearson","1.0","2.0","","copresence","421->422","421->422=correl_pearson","0.0","0.0","false","","421->422=correl_pearson","0.0"
"dist_bray","1.0","1.0","","copresence","422->421","422->421=dist_bray","NaN","NaN","false","","422->421=dist_bray","0.06959153"
"dist_bray","1.0","3.0","","copresence","72->168","72->168=dist_bray","NaN","NaN","false","","72->168=dist_bray","0.00313247"
"correl_pearson","3.0","6.0","","copresence","72->238","72->238=correl_pearson","0.0","0.0","false","","72->238=correl_pearson","0.0"
"correl_pearson","2.0","5.0","","copresence","72->155","72->155=correl_pearson","0.0","0.0","false","","72->155=correl_pearson","0.0"
"correl_pearson","0.0","4.0","","copresence","238->155","238->155=correl_pearson","0.0","0.0","false","","238->155=correl_pearson","0.9991660938261917"
"dist_bray","2.0","4.0","","copresence","238->155","238->155=dist_bray","NaN","NaN","false","","238->155=dist_bray","0.02195247"
"correl_pearson","0.0","4.0","","copresence","238->168","238->168=correl_pearson","0.0","0.0","false","","238->168=correl_pearson","0.9999984765655261"
"dist_bray","2.0","4.0","","copresence","238->168","238->168=dist_bray","NaN","NaN","false","","238->168=dist_bray","9.2694E-4"
"dist_bray","1.0","4.0","","copresence","238->72","238->72=dist_bray","NaN","NaN","false","","238->72=dist_bray","0.00405941"
"correl_pearson","0.0","35.0","","copresence","323->185","323->185=correl_pearson","0.0","0.0","false","","323->185=correl_pearson","0.9943215780787941"
"correl_pearson","0.0","112.0","","copresence","323->278","323->278=correl_pearson","0.0","0.0","false","","323->278=correl_pearson","0.9983862759506081"
"dist_bray","10.0","35.0","","copresence","323->185","323->185=dist_bray","NaN","NaN","false","","323->185=dist_bray","0.08394519"
"dist_bray","18.0","112.0","","copresence","323->278","323->278=dist_bray","NaN","NaN","false","","323->278=dist_bray","0.03982356"
"correl_pearson","0.0","35.0","","copresence","323->36","323->36=correl_pearson","0.0","0.0","false","","323->36=correl_pearson","0.9979223163784898"
"correl_pearson","1.0","14.0","","copresence","323->392","323->392=correl_pearson","0.0","0.0","false","","323->392=correl_pearson","0.0"
"dist_bray","10.0","35.0","","copresence","323->36","323->36=dist_bray","NaN","NaN","false","","323->36=dist_bray","0.04922525"
"dist_bray","10.0","13.166666666666666","","copresence","297->466","297->466=dist_bray","NaN","NaN","false","","297->466=dist_bray","0.02464666"
"dist_bray","0.0","24.333333333333332","","copresence","297->233","297->233=dist_bray","NaN","NaN","false","","297->233=dist_bray","0.05540802"
"correl_pearson","0.0","28.83333333333334","","copresence","297->320","297->320=correl_pearson","0.0","0.0","false","","297->320=correl_pearson","0.0"
"correl_pearson","0.0","17.333333333333336","","copresence","297->242","297->242=correl_pearson","0.0","0.0","false","","297->242=correl_pearson","0.9894399171365732"
"dist_bray","20.0","28.83333333333334","","copresence","297->320","297->320=dist_bray","NaN","NaN","false","","297->320=dist_bray","0.03367639"
"dist_bray","0.0","36.0","","copresence","452->381","452->381=dist_bray","NaN","NaN","false","","452->381=dist_bray","0.09183673"
"correl_pearson","0.0","19.333333333333332","","copresence","452->466","452->466=correl_pearson","0.0","0.0","false","","452->466=correl_pearson","0.0"
"correl_pearson","42.0","15.33333333333333","","copresence","452->320","452->320=correl_pearson","0.0","0.0","false","","452->320=correl_pearson","0.9928705898820105"
"dist_bray","16.0","19.333333333333332","","copresence","452->466","452->466=dist_bray","NaN","NaN","false","","452->466=dist_bray","0.07211822"
"dist_bray","0.0","21.0","","copresence","452->297","452->297=dist_bray","NaN","NaN","false","","452->297=dist_bray","0.04747156"
"correl_pearson","20.0","36.0","","copresence","452->381","452->381=correl_pearson","0.0","0.0","false","","452->381=correl_pearson","0.9915543958400579"
"correl_pearson","0.0","36.0","","copresence","452->509","452->509=correl_pearson","0.0","0.0","false","","452->509=correl_pearson","0.0"
"correl_pearson","8.0","21.0","","copresence","452->297","452->297=correl_pearson","0.0","0.0","false","","452->297=correl_pearson","0.9971494323134125"
"dist_bray","0.0","83.33333333333333","","copresence","36->3","36->3=dist_bray","NaN","NaN","false","","36->3=dist_bray","0.0951249"
"dist_bray","0.0","83.0","","copresence","36->34","36->34=dist_bray","NaN","NaN","false","","36->34=dist_bray","0.06629619"
"correl_pearson","54.0","83.33333333333333","","copresence","36->3","36->3=correl_pearson","0.0","0.0","false","","36->3=correl_pearson","0.9941816933465871"
"dist_bray","0.0","83.0","","copresence","36->2","36->2=dist_bray","NaN","NaN","false","","36->2=dist_bray","0.09854956"
"correl_pearson","0.0","369.0","","copresence","36->392","36->392=correl_pearson","0.0","0.0","false","","36->392=correl_pearson","0.0"
"dist_bray","0.0","73.0","","copresence","36->185","36->185=dist_bray","NaN","NaN","false","","36->185=dist_bray","0.03471994"
"correl_pearson","125.0","15.0","","copresence","392->185","392->185=correl_pearson","0.0","0.0","false","","392->185=correl_pearson","0.9936350121512"
"dist_bray","0.0","448.0","","copresence","392->278","392->278=dist_bray","NaN","NaN","false","","392->278=dist_bray","0.03520678"
"correl_pearson","234.0","448.0","","copresence","392->278","392->278=correl_pearson","0.0","0.0","false","","392->278=correl_pearson","0.9987277507548782"
"dist_bray","35.0","113.0","","copresence","392->323","392->323=dist_bray","NaN","NaN","false","","392->323=dist_bray","0.00461678"
"dist_bray","169.0","15.0","","copresence","392->36","392->36=dist_bray","NaN","NaN","false","","392->36=dist_bray","0.05384203"
