	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
306	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	86fbfa912f905b34fafffc63481e4c94	306	NonKeystone
307	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	8b0fe00bd6719dfd0b971ce9ea657a06	307	NonKeystone
308	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	8b82f513b271b184f96e2267739537ee	308	NonKeystone
309	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	8db8250d0690f4b531ec9ea09c1dfeaa	309	NonKeystone
310	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	8df43a734d4864d7dc124ca05e81edf9	310	NonKeystone
311	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	8e079ab4a6a51c5825e8a0edf5561470	311	NonKeystone
312	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	8e47237dda4929c4b9babc1a1b65c74d	312	NonKeystone
313	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Hansfordia	8e48ba0c815e11e38528ba37b3d9f70a	313	NonKeystone
314	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	8ef98cf6b73e89ceacfafe2e68fd1b36	314	NonKeystone
315	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	909d5eebd4131699d1148453d74e34d4	315	Keystone
316	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	90e05d3333926ee8560b9c5a503b467c	316	NonKeystone
317	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Gymnopilus	92215e6be75cb4ac4b5b9dadd1ce75ac	317	NonKeystone
318	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	930b0f23265ac219e0996b2c9797b611	318	NonKeystone
319	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	9685d5efab791e0ab92349203828495c	319	NonKeystone
