"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","2.0","29.333333333333343","","copresence","455->370","2","0.06313131|0.9982217366955312","","455->370","0.0","0.0","false","","455->370","2.0"
"correl_pearson|dist_bray","223.0","1838.380050161119","","copresence","455->384","2","0.9999460402377889|0.01028278","","455->384","0.0","0.0","false","","455->384","2.0"
"correl_pearson|dist_bray","1.0","29.0","","copresence","455->389","2","0.04645477|0.9988131721327994","","455->389","0.0","0.0","false","","455->389","2.0"
"correl_pearson|dist_bray","2.0","36.25","","copresence","455->208","2","0.9991737042503029|0.05429864","","455->208","0.0","0.0","false","","455->208","2.0"
"correl_pearson|dist_bray","510.0","3257.320613048528","","copresence","456->384","2","0.01028278|0.9999460402377892","","456->384","0.0","0.0","false","","456->384","2.0"
"correl_pearson|dist_bray","232.0","2664.0","","copresence","289->394","2","0.0|0.0908245","","289->394","0.0","0.0","false","","289->394","2.0"
"correl_pearson|dist_bray","232.0","2664.0","","copresence","289->502","2","0.0|0.03652403","","289->502","0.0","0.0","false","","289->502","2.0"
"correl_pearson|dist_bray","1.0","16.0","","copresence","289->266","2","0.03956012|0.9986747400177907","","289->266","0.0","0.0","false","","289->266","2.0"
"correl_pearson|dist_bray","3.0","42.82142857142857","","copresence","195->208","2","0.0|0.05429864","","195->208","0.0","0.0","false","","195->208","2.0"
"correl_pearson|dist_bray","23.0","613.666666666667","","copresence","195->221","2","0.0|0.02970297","","195->221","0.0","0.0","false","","195->221","2.0"
"correl_pearson|dist_bray","128.0","1062.217704065146","","copresence","195->234","2","0.0|0.02970297","","195->234","0.0","0.0","false","","195->234","2.0"
"correl_pearson|dist_bray","71.0","922.2043377674961","","copresence","195->235","2","0.0|0.02970297","","195->235","0.0","0.0","false","","195->235","2.0"
"correl_pearson|dist_bray","339.0","1869.8992381004005","","copresence","195->244","2","0.0|0.09594096","","195->244","0.0","0.0","false","","195->244","2.0"
"correl_pearson|dist_bray","80.0","975.8476961634857","","copresence","195->245","2","0.0|0.02970297","","195->245","0.0","0.0","false","","195->245","2.0"
"correl_pearson|dist_bray","27.0","380.22807017543886","","copresence","195->281","2","0.0|0.02970297","","195->281","0.0","0.0","false","","195->281","2.0"
"correl_pearson|dist_bray","16.0","260.38690476190476","","copresence","195->294","2","0.0|0.02970297","","195->294","0.0","0.0","false","","195->294","2.0"
"correl_pearson|dist_bray","128.0","1039.6404275405012","","copresence","195->297","2","0.0|0.02970297","","195->297","0.0","0.0","false","","195->297","2.0"
"correl_pearson|dist_bray","18.0","546.809523809524","","copresence","195->299","2","0.0|0.02970297","","195->299","0.0","0.0","false","","195->299","2.0"
"correl_pearson|dist_bray","6.0","35.64642857142859","","copresence","195->403","2","0.0|0.02970297","","195->403","0.0","0.0","false","","195->403","2.0"
"correl_pearson|dist_bray","2.0","12.333333333333336","","copresence","195->408","2","0.0|0.02970297","","195->408","0.0","0.0","false","","195->408","2.0"
"correl_pearson|dist_bray","33.0","745.1999999999997","","copresence","195->424","2","0.0|0.02970297","","195->424","0.0","0.0","false","","195->424","2.0"
"correl_pearson|dist_bray","7.0","100.24509803921572","","copresence","195->427","2","0.0|0.02970297","","195->427","0.0","0.0","false","","195->427","2.0"
"correl_pearson|dist_bray","7.0","93.36666666666667","","copresence","195->430","2","0.0|0.02970297","","195->430","0.0","0.0","false","","195->430","2.0"
"correl_pearson|dist_bray","7.0","183.11111111111117","","copresence","195->432","2","0.0|0.02970297","","195->432","0.0","0.0","false","","195->432","2.0"
"correl_pearson|dist_bray","202.0","1388.1853302611366","","copresence","195->437","2","0.0|0.02970297","","195->437","0.0","0.0","false","","195->437","2.0"
"correl_pearson|dist_bray","307.0","2356.2948587761007","","copresence","195->449","2","0.0|0.09638554","","195->449","0.0","0.0","false","","195->449","2.0"
"correl_pearson|dist_bray","47.0","844.7805683563747","","copresence","195->455","2","0.0|0.02970297","","195->455","0.0","0.0","false","","195->455","2.0"
"correl_pearson|dist_bray","30.0","591.287927663734","","copresence","195->456","2","0.0|0.02970297","","195->456","0.0","0.0","false","","195->456","2.0"
