	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
418	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	e28fb35c63dd812e9cde60d725337a1e	418
419	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	e3b5b50c9da545ec68b9535d0fe34ef1	419
420	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	e7690350e0ceae22ffbb260fa08632e5	420
421	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	e77837a89bb0b3c2bfad2406b2589f48	421
422	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	e8c0994788510d3e7670458be4fe86b2	422
423	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium	e8d8a7e919c45b6b7ca9cc3076494d9b	423
424	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	e9702432f16b2c3c6cbc6b35135ef7aa	424
425	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	ea8dbceb53f6d1ebe8ebda7e98c0f267	425
426	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	eb701b09b6722ef9f319c53fccebfedc	426
427	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	ec41429e5300e228c28e16cb79d285aa	427
428	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	eca0fd82fff66a4261412d3f4619665a	428
429	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Selenophoma	ecbc5a28b2c934708b739622f4b7b4f7	429
430	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	ecc1cb60a0b51b0dde71b4ec67ef50ef	430
431	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	ede3c61fc2e8524ff34109bc965e90e8	431
432	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Cylindrium	edfff23090625d971d48b5129944596a	432
433	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	ee204c2447ecc91feb3daf072b38edb6	433
434	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	efc42180b616cbd7d17ec9edffcefc41	434
435	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zasmidium	f0723b95e1775c2e20ead8b5e47c821c	435
436	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	f0b67c1061d12eeb40b71d2da004cc04	436
437	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	Phomatosporaceae	Phomatospora	f1d4ac7d7901f6b881897c49e8351a52	437
438	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales	Xylariales	f25cb7a0ea71696a4783c7b31536c2f7	438
439	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	f3f917fe39b0b06b5bf8e59e6f1f057d	439
