"cooc_method","Edge Betweenness Dir","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","5.0",,"copresence","289->439","2","0.0|0.03719912","","289->439","0.0","0.0","false",,"289->439","2.0"
"correl_pearson|dist_bray","18.0",,"copresence","198->638","2","0.0","","198->638","0.0","0.0","false",,"198->638","2.0"
"correl_pearson|dist_bray","988.0",,"copresence","439->501","2","0.0|0.03719912","","439->501","0.0","0.0","false",,"439->501","2.0"
"correl_pearson|dist_bray","84.0",,"copresence","545->234","2","0.02846975|0.9995706041345258","","545->234","0.0","0.0","false",,"545->234","2.0"
"correl_pearson|dist_bray","1986.0",,"copresence","451->545","2","0.0|0.02846975","","451->545","0.0","0.0","false",,"451->545","2.0"
"correl_pearson|dist_bray","11.0",,"copresence","741->678","2","0.9999555021154477|0.00934579","","741->678","0.0","0.0","false",,"741->678","2.0"
"correl_pearson|dist_bray","265.0",,"copresence","441->638","2","0.0","","441->638","0.0","0.0","false",,"441->638","2.0"
"correl_pearson|dist_bray","84.0",,"copresence","517->709","2","0.0|0.04251386","","517->709","0.0","0.0","false",,"517->709","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","545->594","2","0.0|0.09574468","","545->594","0.0","0.0","false",,"545->594","2.0"
"correl_pearson|dist_bray","10.0",,"copresence","435->243","2","0.0|0.999999999999998","","435->243","0.0","0.0","false",,"435->243","2.0"
"correl_pearson|dist_bray","39.0",,"copresence","458->323","2","0.0|0.9999999999999984","","458->323","0.0","0.0","false",,"458->323","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","458->243","2","0.0|0.9999999999999958","","458->243","0.0","0.0","false",,"458->243","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","198->344","2","0.0","","198->344","0.0","0.0","false",,"198->344","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","727->678","2","0.0|0.9999999999999986","","727->678","0.0","0.0","false",,"727->678","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","727->639","2","0.0|0.9999999999999967","","727->639","0.0","0.0","false",,"727->639","2.0"
"correl_pearson|dist_bray","383.0",,"copresence","622->709","2","0.0","","622->709","0.0","0.0","false",,"622->709","2.0"
"correl_pearson|dist_bray","57.0",,"copresence","639->678","2","0.0","","639->678","0.0","0.0","false",,"639->678","2.0"
"correl_pearson|dist_bray","248.0",,"copresence","451->344","2","0.0|0.9999999999999944","","451->344","0.0","0.0","false",,"451->344","2.0"
"correl_pearson|dist_bray","134.0",,"copresence","441->357","2","0.0|0.9999999999999978","","441->357","0.0","0.0","false",,"441->357","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","307->441","2","0.0","","307->441","0.0","0.0","false",,"307->441","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","458->439","2","0.03719912|0.9995268470140464","","458->439","0.0","0.0","false",,"458->439","2.0"
"correl_pearson|dist_bray","32.0",,"copresence","450->323","2","0.0|0.9999999999999956","","450->323","0.0","0.0","false",,"450->323","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","637->594","2","0.9944223268532754|0.09574468","","637->594","0.0","0.0","false",,"637->594","2.0"
"correl_pearson|dist_bray","1868.0",,"copresence","594->678","2","0.0|0.09574468","","594->678","0.0","0.0","false",,"594->678","2.0"
"correl_pearson|dist_bray","155.0",,"copresence","265->545","2","0.0|0.02846975","","265->545","0.0","0.0","false",,"265->545","2.0"
"correl_pearson|dist_bray","128.0",,"copresence","323->671","2","0.0","","323->671","0.0","0.0","false",,"323->671","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","741->671","2","0.9999555021154525|0.00934579","","741->671","0.0","0.0","false",,"741->671","2.0"
"correl_pearson|dist_bray","30.0",,"copresence","289->622","2","0.0","","289->622","0.0","0.0","false",,"289->622","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","458->435","2","0.0|0.9999999999999988","","458->435","0.0","0.0","false",,"458->435","2.0"
"correl_pearson|dist_bray","54.0",,"copresence","594->671","2","0.0|0.09574468","","594->671","0.0","0.0","false",,"594->671","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","634->243","2","0.00936037|0.9999553618403986","","634->243","0.0","0.0","false",,"634->243","2.0"
"correl_pearson|dist_bray","40.0",,"copresence","298->545","2","0.0|0.02846975","","298->545","0.0","0.0","false",,"298->545","2.0"
"correl_pearson|dist_bray","103.0",,"copresence","265->671","2","0.0","","265->671","0.0","0.0","false",,"265->671","2.0"
"correl_pearson|dist_bray","16.0",,"copresence","298->265","2","0.0|1.0","","298->265","0.0","0.0","false",,"298->265","2.0"
"correl_pearson|dist_bray","58.0",,"copresence","298->741","2","0.0|0.00934579","","298->741","0.0","0.0","false",,"298->741","2.0"
